user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,interaction_jsd_summarized
,BPR,consume_all,2,KG,1,0.6125326170336814,1.0,0.8,0.0,0.35714285714285715,0.0,0.5782897927018631,0.6601403159235798,0.2703775285259666,0.12282164588921565
,BPR,consume_all,2,KR,1,0.523826821439574,0.5069331210745203,0.3,0.0,0.4117647058823529,0.0,0.39214984103286266,0.035874179928623795,0.16212843019183895,0.25925958766678786
,BPR,consume_all,2,KZ,1,0.4451028477290367,0.5015148812448885,0.6,0.0,0.5172413793103449,0.0,0.15538238645752536,0.07848283719377028,0.10772303229856132,0.037001431714677464
,BPR,consume_all,2,LB,1,0.6331337213201165,0.07529904764892184,0.6,0.0,0.17307692307692307,0.0,0.11405354166093942,0.07003403236526795,0.42994049658082434,0.05404818564061517
,BPR,consume_all,2,LT,3,0.6280506633139864,0.5240074383666563,0.5666666666666667,0.0,0.2391304347826087,0.0,0.311315914963568,0.13379244480614041,0.2816592348332121,0.031999868536950145
,BPR,consume_all,2,LV,6,0.5652441154141652,0.3247882931875813,0.5833333333333334,0.0,0.5149700598802395,0.0,0.3259317827878407,0.17177308127457294,0.22969108199824442,0.15188836308617212
,BPR,consume_all,2,MK,1,0.8685406364665144,0.7692990341332574,0.5,0.0,0.25,0.0,0.37522143623009496,0.29036197582591733,0.33180088419387255,0.11511742531458535
,BPR,consume_all,2,MU,1,0.5753465560939771,0.4241757601885226,0.6,0.0,0.5555555555555556,0.0,0.3994419913688582,0.1549924426119809,0.13646158094593988,0.17431487696776365
,BPR,consume_all,2,MX,9,0.6042513595710512,0.4440446526370054,0.6111111111111112,0.0,0.5789473684210527,0.050239234449760764,0.2574051707900329,0.1139809337935358,0.2960442771850136,0.10376857032037491
,BPR,consume_all,2,NL,18,0.5933976660074127,0.37971394815203624,0.5111111111111111,0.0,0.4585987261146497,0.014861995753715499,0.3484628409534415,0.1350775216952917,0.3093285293871809,0.19504382329000777
,BPR,consume_all,2,NO,10,0.6117016935125978,0.5214640110857329,0.54,0.0,0.5898617511520737,0.0,0.387432010809808,0.2420475829769297,0.349730543918929,0.20839351346517762
,BPR,consume_all,2,NZ,1,0.3461826910477383,0.32868152693085756,0.7,0.1,0.8333333333333334,0.0,0.18329649133659998,0.1862353641463565,0.31380508484443037,0.16327443325085847
,BPR,consume_all,2,PE,1,0.6237264013097256,0.6132247375805263,0.6,0.0,0.5636363636363636,0.0,0.25915672751655217,0.04315236127989384,0.019358852787935657,0.050657760863024405
,BPR,consume_all,2,PL,56,0.6451075172774615,0.3980408513513258,0.5678571428571428,0.0,0.40268456375838924,0.012863534675615212,0.35055482733155036,0.1712842663077418,0.32136737814015875,0.18635241200308714
,BPR,consume_all,2,PM,1,0.6001111113085857,0.3338880045056746,0.5,0.0,0.4318181818181818,0.0,0.12131390441372555,0.10910134944110969,0.0500614681202603,0.00801315173642568
,BPR,consume_all,2,PT,4,0.47185849722167855,0.2979720326687232,0.475,0.0,0.504950495049505,0.0,0.28682070893167344,0.15825451172107913,0.2690346456621679,0.06900394197772063
,BPR,consume_all,2,PY,1,0.4574625070103174,0.17336313150579136,0.8,0.0,0.4444444444444444,0.0,0.3381179886595274,0.24282250462445895,0.19669790841997614,0.1224032271060227
,BPR,consume_all,2,RO,1,0.6864243621748233,0.4172965067778762,0.6,0.0,0.34782608695652173,0.0,0.3513049536905519,0.18923939354465297,0.32263186322232656,0.10991612442189619
,BPR,consume_all,2,RS,3,0.6009802531383227,0.27442640250220923,0.6333333333333333,0.0,0.3392857142857143,0.0,0.3960673047161094,0.1278844600958072,0.27723083914573005,0.10889863395211334
,BPR,consume_all,2,RU,46,0.6350271449063881,0.3839306190020764,0.5304347826086957,0.0,0.44072948328267475,0.0007598784194528875,0.3497391936599773,0.163169293582449,0.26548782406882465,0.13527926392108452
,BPR,consume_all,2,SE,24,0.5440673927365006,0.45137153743353237,0.5291666666666667,0.04583333333333333,0.5870069605568445,0.037122969837587005,0.2869069300431342,0.1615804789434576,0.28802644686957807,0.1512856944468687
,BPR,consume_all,2,SI,3,0.6938681048700678,0.5876603272909602,0.43333333333333335,0.0,0.6338028169014085,0.0,0.3714350034743526,0.21136394447004156,0.39627543380983127,0.2293823303876311
,BPR,consume_all,2,SJ,1,0.6546692738087532,0.01817944171317333,0.2,0.0,0.15873015873015872,0.0,0.26030418513451603,0.02498835053275269,0.05484359706641601,0.009141370479990026
,BPR,consume_all,2,SK,1,0.6505533585613925,0.3831358798599423,0.3,0.0,0.5,0.0,0.45761404648025994,0.22089576884901735,0.17408372939284789,0.0
,BPR,consume_all,2,TH,1,0.654590323195448,0.23732012053451304,0.4,0.0,0.20212765957446807,0.0,0.14739481795716333,0.020658434201783014,0.1842110418135704,0.0002677836278591878
,BPR,consume_all,2,TR,5,0.674962168303393,0.40820366857917384,0.46,0.0,0.13074204946996468,0.0,0.36323338675805167,0.2649251766413234,0.40642065120596127,0.2512157192571085
